,objectid,name,alias,gis_acres,park_type,location,owner,source_id,source,source_dt,src_notes
71,72,Holiday Estates I Park,Holiday Estates I Park,0.24847606,Local,383 Connoley Cir,City of Chula Vista,219,City of Chula Vista,316, 
78,79,Gayle L McCandliss Park,Gayle L Mccandliss Park,1.57650175,Local,415 E J St,City of Chula Vista,44,City of Chula Vista,316, 
79,80,Sunbow Park,Sunbow Park,3.71346886,Local,500 E Naples St,City of Chula Vista,237,City of Chula Vista,316, 
80,81,Lancerlot Park,Lancerlot Park,0.15553423,Local,750 K St,City of Chula Vista,205,City of Chula Vista,316, 
81,82,Eucalyptus Park,Eucalyptus Park,19.6948089,Local,Fourth Av & C St,City of Chula Vista,201,City of Chula Vista,316, 
82,83,Friendship Park,Friendship Park,3.78496417,Local,Fourth Av & F St,City of Chula Vista,202,City of Chula Vista,316, 
83,84,Norman Park,Norman Park,1.41338696,Local,270 F St,City of Chula Vista,204,City of Chula Vista,316, 
84,85,Chula Vista Women's Club,Chula Vista Women'S Club,0.3439236,Local,390 Garrett Av,City of Chula Vista,285,City of Chula Vista,316, 
85,86,Memorial Park,Memorial Park,8.02061271,Local,373 Park Wy,City of Chula Vista,203,City of Chula Vista,316, 
86,87,Bay Boulevard Park,Bay Boulevard Park,0.74907526,Local,F St & Bay Bl,City of Chula Vista,294,City of Chula Vista,316, 
87,88,Bayside Park,Bayside Park,9.2874153,Local,Bayside Pw,SDUPD,236,City of Chula Vista,316, 
88,89,Bayfront Park,Bayfront Park,10.45791652,Local,800 Marina Pkwy,SDUPD,98,City of Chula Vista,316, 
89,90,Marina View Park,Marina View Park,5.92683044,Local,800 Marina Pkwy,SDUPD,207,City of Chula Vista,316, 
97,98,Marisol Park,Marisol Park,5.01247168,Local,916 Rancho Del Rey Pkwy,City of Chula Vista,243,City of Chula Vista,316, 
98,99,Terra Nova Park,Terra Nova Park,8.2751704,Local,450 Hidden Vista Dr,City of Chula Vista,230,City of Chula Vista,316, 
99,100,Rohr Park,Rohr Park,59.90177914,Local,4548 Sweetwater Rd,City of Chula Vista,322,City of Chula Vista,316, 
100,101,Discovery Park,Discovery Park,20.36818917,Local,700 Buena Vista Wy,City of Chula Vista,239,City of Chula Vista,316, 
101,102,Loma Verde Park,Loma Verde Park,6.27671167,Local,1420 Loma Ln,City of Chula Vista,212,City of Chula Vista,316, 
102,103,Rienstra Sports Complex,Rienstra Sports Complex,13.26060769,Local,1500 Max Av,City of Chula Vista,215,City of Chula Vista,316, 
103,104,Los Ninos Park,Los Ninos Park,5.00923535,Local,150 Teal St,City of Chula Vista,216,City of Chula Vista,316, 
104,105,Connoley Park,Connoley Park,0.66337874,Local,1559 Connoley Av,City of Chula Vista,217,City of Chula Vista,316, 
105,106,Holiday Estates II Park,Holiday Estates Ii Park,0.21476508,Local,368 Connoley Cir,City of Chula Vista,218,City of Chula Vista,316, 
106,107,Glen Park,Glen Park,4.44644753,Local,2149 Orinda Dr,City of Encinitas,23,City of Encinitas,216, 
108,109,Wiro Park,Wiro Park,1.02331497,Local,2232 El Camino Del Norte,City of Encinitas,59,City of Encinitas,216, 
109,110,Encinitas Viewpoint,Encinitas Viewpoint,2.41183951,Local,56 E D St,City of Encinitas,205,City of Encinitas,216, 
110,111,Horizon Park,Horizon Park,5.62820966,Local,970 E Palomar St,City of Chula Vista,326,City of Chula Vista,316, 
111,112,Sunridge Park,Sunridge Park,6.5841121,Local,952 Beechglen Dr,City of Chula Vista,231,City of Chula Vista,316, 
114,115,Otay Park,Otay Park,4.254882,Local,1613 Albany Av,City of Chula Vista,220,City of Chula Vista,316, 
115,116,Otay Gym & Rec Center,Otay Gym & Rec Center,1.32447132,Local,3554 Main St,City of Chula Vista,93,City of Chula Vista,316, 
116,117,Valle Lindo Park,Valle Lindo Park,4.35259118,Local,545 Sequoia Dr,City of Chula Vista,221,City of Chula Vista,316, 
117,118,Greg Rogers Park,Greg Rogers Park,27.32937354,Local,1189 Oleander Av,City of Chula Vista,210,City of Chula Vista,316, 
118,119,Veterans Park,Veterans Park,10.028503,Local,785 E Palomar St,City of Chula Vista,323,City of Chula Vista,316, 
128,129,Independence Park,Independence Park,4.60685034,Local,1248 Calle Santiago,City of Chula Vista,226,City of Chula Vista,316, 
129,130,Rancho Del Rey Park North,Rancho Del Rey Park North,3.53217207,Local,1311 Buena Vista Wy,City of Chula Vista,35,City of Chula Vista,316, 
130,131,Rancho Del Rey Finger,Rancho Del Rey Park Finger,0.69846912,Local,1311 Buena Vista Wy,City of Chula Vista,41,City of Chula Vista,316, 
131,132,Rancho Del Rey South,Rancho Del Rey Park South,5.04336357,Local,1311 Buena Vista Wy,City of Chula Vista,224,City of Chula Vista,316, 
132,133,Hilltop Park,Hilltop Park,9.30002972,Local,780 Hilltop Dr,City of Chula Vista,206,City of Chula Vista,316, 
133,134,Harborside Park,Harborside Park,5.10771167,Local,670 Oxford St,City of Chula Vista,250,City of Chula Vista,316, 
134,135,Lauderbach Park,Lauderbach Park,3.78933451,Local,333 Oxford St,City of Chula Vista,229,City of Chula Vista,316, 
135,136,Palomar Park,Palomar Park,2.81098776,Local,1350 Park Dr,City of Chula Vista,214,City of Chula Vista,316, 
136,137,Sherwood Park,Sherwood Park,0.29902796,Local,69 Sherwood St,City of Chula Vista,208,City of Chula Vista,316, 
137,138,SDG&E West,Sdg&E West,9.33781069,Local,1450 Hilltop Dr,City of Chula Vista,213,City of Chula Vista,316, 
138,139,SDG&E East,Sdg&E East,10.46652646,Local,1420 Loma Ln,City of Chula Vista,209,City of Chula Vista,316, 
139,140,Explorer Park,Explorer Park,5.54709064,Local,Rancho Del Rey Py & Norella St,City of Chula Vista,241,City of Chula Vista,316, 
142,143,Hawk View Park,Hawk View Park,1.86565175,Local,1309 Blue Heron Ave,City of Encinitas,203,City of Encinitas,216, 
143,144,Sun Vista Park,Sun Vista Park,4.16829463,Local,2011 Avenida La Posta,City of Encinitas,753,City of Encinitas,216, 
144,145,Little Oaks Equestrian Park,Little Oaks Equestrian Park,1.56836172,Other,2879 Lone Jack Rd,City of Encinitas,195,City of Encinitas,216, 
145,146,Oak Crest Park,Oak Crest Park,6.4002874,Local,1219 Encinitas Blvd,City of Encinitas,800,City of Encinitas,216, 
147,148,Mildred MacPherson Park,Mildred Macpherson Park,1.00797836,Local,1045 S Vulcan Ave,City of Encinitas,38,City of Encinitas,216, 
148,149,MacKenzie Creek Park,Mackenzie Creek Park,6.82224498,Local,2775 Mackenzie Creek Rd,City of Chula Vista,244,City of Chula Vista,316, 
149,150,Montevalle Park,Montevalle Park,27.44448313,Local,840 Duncan Ranch Rd,City of Chula Vista,346,City of Chula Vista,316, 
150,151,Chula Vista Community Park,Chula Vista Community Park,13.98665528,Local,1060 Eastlake Pkwy,City of Chula Vista,240,City of Chula Vista,316, 
151,152,Salt Creek Park,Salt Creek Park,23.23622743,Local,2710 Otay Lakes Rd,City of Chula Vista,324,City of Chula Vista,316, 
152,153,Sunset View Park,Sunset View Park,11.76847958,Local,1390 S Greensview Dr,City of Chula Vista,238,City of Chula Vista,316, 
159,160,Orpheus Park,Orpheus Park,2.64441973,Local,482 Orpheus Ave,City of Encinitas,110,City of Encinitas,216, 
179,180,Paseo Del Rey Park,Paseo Del Rey Park,8.87854286,Local,750 Paseo Del Rey,City of Chula Vista,225,City of Chula Vista,316, 
196,197,Windingwalk Park,Windingwalk Park,9.46718635,Local,1675 Exploration Falls Dr,City of Chula Vista,325,City of Chula Vista,316, 
212,213,Ecke Sports Park,Ecke Sports Park,9.5630028,Local,278 Saxony Rd,City of Encinitas,107,City of Encinitas,216, 
213,214,Voyager Park,Voyager Park,11.24624591,Local,1178 E J St,City of Chula Vista,242,City of Chula Vista,316, 
214,215,Harvest Park,Harvest Park,6.71325475,Local,1550 E Palomar St,City of Chula Vista,109,City of Chula Vista,316, 
215,216,Heritage Park,Heritage Park,10.7329028,Local,1381 E Palomar St,City of Chula Vista,234,City of Chula Vista,316, 
216,217,Bonita Long Canyon Park,Bonita Long Canyon Park,11.95374162,Local,1745 Coltridge Ln,City of Chula Vista,232,City of Chula Vista,316, 
217,218,Tiffany Park,Tiffany Park,6.694648,Local,1713 Elmhurst Av,City of Chula Vista,227,City of Chula Vista,316, 
218,219,Breezewood Park,Breezewood Park,2.12325036,Local,1091 Breezewood Dr,City of Chula Vista,233,City of Chula Vista,316, 
219,220,Cottonwood Park,Cottonwood Park,6.71061122,Local,1778 E Palomar St,City of Chula Vista,245,City of Chula Vista,316, 
220,221,Santa Cora Park,Santa Cora Park,5.62723188,Local,1365 Santa Cora Av,City of Chula Vista,247,City of Chula Vista,316, 
221,222,Santa Venetia Park,Santa Venetia Park,7.66898165,Local,1500 Magdalena Av,City of Chula Vista,248,City of Chula Vista,316, 
222,223,All Seasons Park,All Seasons Park,7.60335732,Local,1825 Magdalena Av,City of Chula Vista,251,City of Chula Vista,316, 
223,224,Mount San Miguel Park,Mount San Miguel Park,20.04441441,Local,2335 Paseo Veracruz,City of Chula Vista,1,City of Chula Vista,316, 
224,225,Mountain Hawk Park,Mountain Hawk Park,12.86367225,Local,1475 Lake Crest Dr,City of Chula Vista,249,City of Chula Vista,316, 
225,226,Leucadia Oaks Park,Leucadia Oaks Park,2.63700536,Local,1511 N Vulcan Ave,City of Encinitas,96,City of Encinitas,216, 
229,230,Teeple Park,Teeple Park,0.71265959,Local,1121 Calla Ave,City of Imperial Beach,1,City of Imperial Beach,316, 
230,231,Dunes Park,Dunes Park,1.33474901,Local,700 Seacoast Dr,City of Imperial Beach,2,City of Imperial Beach,316, 
231,232,Veterans Park,Veterans Park,8.44656093,Local,1075 8th St,City of Imperial Beach,3,City of Imperial Beach,316, 
232,233,Pier Plaza,Pier Plaza,0.95503154,Local,10 Evergreen Ave,City of Imperial Beach,4,City of Imperial Beach,316, 
233,234,Reama Park,Reama Park,0.67585403,Local,210 Elkwood Ave,City of Imperial Beach,5,City of Imperial Beach,316, 
234,235,Triangle Park,Triangle Park,0.35615797,Local,Palm Ave and Highway 75,City of Imperial Beach,6,City of Imperial Beach,316, 
235,236,Sports Park,Sports Park,9.00044741,Local,441 Imperial Beach Blvd,City of Imperial Beach,7,City of Imperial Beach,316, 
236,237,Serenity Gardens,Serenity Gardens,0.04190587,Local,659 Silver Strand Blvd,City of Imperial Beach,8,City of Imperial Beach,316, 
237,238,Pocket Park,Pocket Park,0.19790221,Local,Palm Ave and Silver Strand Blvd,City of Imperial Beach,9,City of Imperial Beach,316, 
256,257,Lakeview Park,Lakeview Park,0.59725507,Local,700 Foxhall Dr,City of San Marcos,PRK51,City of San Marcos,216, 
257,258,Jack's Pond Park,Jack'S Pond Park,21.91222568,Local,986 La Moree Rd,City of San Marcos,PRK5,City of San Marcos,216, 
258,259,Alder Glenn Park,Alder Glenn Park,0.40504855,Local,Park Creek Ct,City of San Marcos,PRK57,City of San Marcos,216, 
259,260,Sage Pointe Park,Sage Pointe Park,0.13628881,Local,201 Autumn Dr,City of San Marcos,PRK58,City of San Marcos,216, 
260,261,"BISHOP, MELBA PARK","Bishop, Melba Park",18.37262735,Local,5306 N River Road,City of Oceanside,111,Parks_Active_Use,211, 
261,262,BUCCANEER BEACH PARK,Buccaneer Beach Park,2.3232549,Local,1506 South Pacific Street,City of Oceanside,121,Parks_Active_Use,211, 
262,263,OAK RIPARIAN PARK,Oak Riparian Park,6.45879191,Local,4625 Lake Boulevard,City of Oceanside,332,Parks_Active_Use,211, 
296,297,Summer Hill Park,Summer Hill Park,2.02859274,Local,Bel Esprit Cir,City of San Marcos,PRK39,City of San Marcos,216, 
297,298,Double Peak Regional Park,Double Peak Regional Park,229.96252415,Local,900 Double Peak Dr,City of San Marcos,PRK41,City of San Marcos,216, 
298,299,San Marcos Senior Center,San Marcos Senior Center,0.45385678,Local,Richmar Ave,City of San Marcos,PRK42,City of San Marcos,216, 
299,300,San Marcos Community Services,San Marcos Community Services,0.82541673,Local,3 Civic Center Dr,City of San Marcos,PRK43,City of San Marcos,216, 
300,301,Woodland Park,Woodland Park,14.67209388,Local,671 Woodland Pkwy,City of San Marcos,PRK47,City of San Marcos,216, 
302,303,William Bradley Park,William Bradley Park,34.2435076,Local,1587 Linda Vista Dr,City of San Marcos,PRK1,City of San Marcos,216, 
303,304,Cerro De Las Posas Park,Cerro De Las Posas Park,11.55066212,Local,1387 W Borden Rd,City of San Marcos,PRK2,City of San Marcos,216, 
304,305,Hollandia Park,Hollandia Park,29.76181343,Local,12 Mission Hills Ct,City of San Marcos,PRK4,City of San Marcos,216, 
305,306,Knob Hill Park,Knob Hill Park,2.99099569,Local,860 Avenida Ricardo,City of San Marcos,PRK6,City of San Marcos,216, 
306,307,Montiel Park,Montiel Park,9.95594961,Local,2290 Montiel Rd,City of San Marcos,PRK7,City of San Marcos,216, 
307,308,Walnut Grove Park,Walnut Grove Park,38.42682151,Local,2050 Sycamore Dr,City of San Marcos,PRK11,City of San Marcos,216, 
308,309,Mission Sports Park,Mission Sports Park,14.05417792,Local,931 Bailey Ct,City of San Marcos,PRK13,City of San Marcos,216, 
309,310,Helen Bougher Park,Helen Bougher Park,1.49966311,Local,1243 Borden Rd,City of San Marcos,PRK15,City of San Marcos,216, 
310,311,The Laurels Park,The Laurels Park,0.78664805,Local,950 Hawthorne Ct,City of San Marcos,PRK16,City of San Marcos,216, 
311,312,Discovery Hills Children's Park,Discovery Hills Children'S Park,0.9206325,Local,Via Vera Cruz,City of San Marcos,PRK17,City of San Marcos,216, 
312,313,San Elijo Hills Mini Park,San Elijo Hills Mini Park,2.47515826,Local,Questhaven Rd,City of San Marcos,PRK27,City of San Marcos,216, 
313,314,Buelow Park,Buelow Park,1.90448458,Local,300 Autumn Dr,City of San Marcos,PRK30,City of San Marcos,216, 
314,315,Ridgeline Trailhead,Ridgeline Trailhead,1.91548486,Local,San Elijo Rd,City of San Marcos,PRK31,City of San Marcos,216, 
315,316,Connors Park,Connors Park,4.66701174,Local,320 W San Marcos Blvd,City of San Marcos,PRK33,City of San Marcos,216, 
316,317,Sunset Park,Sunset Park,17.63028015,Local,909 Puesta del Sol,City of San Marcos,PRK35,City of San Marcos,216, 
317,318,Regency Hills Park,Regency Hills Park,0.95199377,Local,555 Calle Capistrano,City of San Marcos,PRK36,City of San Marcos,216, 
318,319,Senior Center Tot lot,Senior Center Tot Lot,0.24722209,Local,111 Richmar Ave,City of San Marcos,PRK37,City of San Marcos,216, 
319,320,Civic Center Park,Civic Center Park,0.61913005,Local,3 Civic Center Dr,City of San Marcos,PRK38,City of San Marcos,216, 
320,321,Santa Fe Hills Park,Santa Fe Hills Park,1.00612575,Local,701 Via Barquero,City of San Marcos,PRK18,City of San Marcos,216, 
321,322,Amigo Park,Amigo Park,0.74120594,Local,730 Camino Magnifico,City of San Marcos,PRK19,City of San Marcos,216, 
322,323,Quail Valley Park,Quail Valley Park,1.27725991,Local,775 Avenida Leon,City of San Marcos,PRK20,City of San Marcos,216, 
323,324,Creek View Park,Creek View Park,0.96375816,Local,1217 Corte Encanto,City of San Marcos,PRK21,City of San Marcos,216, 
324,325,ALAMOSA PARK,Alamosa Park,6.91864047,Local,Mesa Drive and Alamosa Park Drive,City of Oceanside,73,Parks_Active_Use,211, 
325,326,"KING, MARTIN LUTHER JR PARK","King, Martin Luther Jr Park",15.44852438,Local,4300 Mesa Drive,City of Oceanside,223,Parks_Active_Use,211, 
326,327,LAKE PARK,Lake Park,9.91121933,Local,4970 Lake Blvd,City of Oceanside,237,Parks_Active_Use,211, 
328,329,Scott Valley Park,Scott Valley Park,1.9975774,Local,1602 Willowhaven Rd,City of Encinitas,180,City of Encinitas,216, 
329,330,Leo Mullen Sports Park,Leo Mullen Sports Park,5.83944417,Local,951 Via Cantebria,City of Encinitas,751,City of Encinitas,216, 
330,331,Encinitas Community Park,Encinitas Community Park,43.33690098,Other,425 Santa Fe Dr,City of Encinitas,815,City of Encinitas,216, 
331,332,Leucadia Roadside Park,Leucadia Roadside Park,0.17130335,Local,860 N Coast Highway 101,City of Encinitas,173,City of Encinitas,216, 
332,333,Cottonwood Creek Park,Cottonwood Creek Park,8.08828967,Local,95 N Vulcan Ave,City of Encinitas,736,City of Encinitas,216, 
333,334,Cardiff Sports Park,Cardiff Sports Park,10.83960574,Local,1661 Lake Dr,City of Encinitas,809,City of Encinitas,216, 
345,346,San Elijo Park,San Elijo Park,21.13714381,Local,1105 Elfin Forest Rd,City of San Marcos,PRK9,City of San Marcos,216, 
346,347,Simmons Family Park,Simmons Family Park,5.88079948,Local,2180 Rocky Point Way,City of San Marcos,PRK10,City of San Marcos,216, 
347,348,Valley View Park,Valley View Park,0.9283177,Local,629 Corte Loren,City of San Marcos,PRK22,City of San Marcos,216, 
348,349,Foothills Park,Foothills Park,1.10661278,Local,880 Avenida Abeja,City of San Marcos,PRK23,City of San Marcos,216, 
349,350,Pebblestone Park,Pebblestone Park,0.76652396,Local,Glendale Ave,City of San Marcos,PRK24,City of San Marcos,216, 
350,351,Optimist Park,Optimist Park,0.33691329,Local,891 Borden Rd,City of San Marcos,PRK25,City of San Marcos,216, 
377,378,Mulberry Park,Mulberry Park,3.87021314,Local,751 Mulberry Dr,City of San Marcos,PRK8,City of San Marcos,216, 
388,389,PALISADES PARK,Palisades Park,6.42997431,Local,Rancho del Oro and Vista Del Oro,City of Oceanside,353,Parks_Active_Use,211, 
389,390,MARSHALL PARK,Marshall Park,3.01904697,Local,1404 Marshall Street,City of Oceanside,262,Parks_Active_Use,211, 
390,391,"TODD, BUDDY PARK","Todd, Buddy Park",17.88496129,Local,Mesa Drive and Parnassus Circle,City of Oceanside,453,Parks_Active_Use,211, 
393,394,Cabrillo National Monument,Cabrillo National Monument,153.27691301,National,"Cabrillo Memorial Drive, San Diego",State,SanGIS1,SanGIS,516,Boundary copied from Parcel layer
398,399,CAPISTRANO PARK,Capistrano Park,12.01995591,Local,770 Capistrano Drive,City of Oceanside,128,Parks_Active_Use,211, 
399,400,"LANDES, JOHN PARK","Landes, John Park",10.39243089,Local,2855 Cedar Road,City of Oceanside,240,Parks_Active_Use,211, 
400,401,IVEY RANCH PARK,Ivey Ranch Park,14.42580904,Local,4101 Mission Avenue,City of Oceanside,212,Parks_Active_Use,211, 
